group,names,scores,logfoldchanges,pvals,pvals_adj
0,IRAK3,131.41374,,0.0,0.0
0,RNF144B,121.289055,,0.0,0.0
0,LYZ,120.417915,,0.0,0.0
0,LRMDA,117.941475,,0.0,0.0
0,LRRK2,115.5318,,0.0,0.0
0,MCTP1,113.45298,,0.0,0.0
0,TLR2,112.14471,,0.0,0.0
0,SLC8A1,109.0037,,0.0,0.0
0,CSF3R,108.96116,,0.0,0.0
0,ACSL1,108.02488,,0.0,0.0
0,CD36,105.96159,,0.0,0.0
0,NAMPT,105.20185,,0.0,0.0
0,MIR181A1HG,104.88365,,0.0,0.0
0,DMXL2,104.31429,,0.0,0.0
0,CLEC12A,102.75053,,0.0,0.0
0,MAML3,100.408905,,0.0,0.0
0,IRS2,97.367935,,0.0,0.0
0,SAT1,96.95317,,0.0,0.0
0,KIF13A,94.350044,,0.0,0.0
0,CLEC7A,93.202225,,0.0,0.0
0,JDP2,92.917175,,0.0,0.0
0,MEGF9,91.48641,,0.0,0.0
0,CREB5,88.70972,,0.0,0.0
0,RBM47,88.649925,,0.0,0.0
0,TMEM170B,87.99913,,0.0,0.0
0,ZBTB16,87.38606,,0.0,0.0
0,PLCB1,86.77507,,0.0,0.0
0,SLC11A1,86.31545,,0.0,0.0
0,AC020656.1,86.214615,,0.0,0.0
0,ARHGAP24,85.49814,,0.0,0.0
0,S100A9,85.07966,,0.0,0.0
0,GAS7,83.53778,,0.0,0.0
0,HDAC9,82.412285,,0.0,0.0
0,RTN1,81.769806,,0.0,0.0
0,FGD4,81.58709,,0.0,0.0
0,GAB2,81.004684,,0.0,0.0
0,CPPED1,80.439804,,0.0,0.0
0,TMTC2,75.85576,,0.0,0.0
0,UBE2E2,75.36015,,0.0,0.0
0,PID1,75.2836,,0.0,0.0
0,ST6GALNAC3,74.19861,,0.0,0.0
0,KYNU,73.35093,,0.0,0.0
0,ADAMTSL4-AS1,72.29157,,0.0,0.0
0,BMP2K,71.45161,,0.0,0.0
0,SULF2,71.38378,,0.0,0.0
0,CST3,70.93007,,0.0,0.0
0,SGMS2,70.76598,,0.0,0.0
0,MEF2C,69.75161,,0.0,0.0
0,AHR,67.70803,,0.0,0.0
0,MYBPC1,65.977806,,0.0,0.0
0,FLVCR2,65.42723,,0.0,0.0
0,F13A1,65.05061,,0.0,0.0
0,JARID2,63.03437,,0.0,0.0
0,HLA-DRA,62.718914,,0.0,0.0
0,FRMD4B,62.325558,,0.0,0.0
0,CD74,61.749134,,0.0,0.0
0,PLBD1,60.005768,,0.0,0.0
0,CD86,57.46416,,0.0,0.0
0,PLEK,57.406826,,0.0,0.0
0,SLC24A4,57.19301,,0.0,0.0
0,AP003086.1,55.99796,,0.0,0.0
0,SAMSN1,55.21523,,0.0,0.0
0,ATP2B1,54.53057,,0.0,0.0
0,EXT1,52.83185,,0.0,0.0
0,HLA-DRB1,52.35653,,0.0,0.0
0,HLA-DQB1,51.53484,,0.0,0.0
0,TRIO,51.369743,,0.0,0.0
0,LPCAT2,51.16178,,0.0,0.0
0,PRKCE,50.61796,,0.0,0.0
0,TENT5A,48.306946,,0.0,0.0
0,ADGRE2,48.14201,,0.0,0.0
0,PLAUR,47.80181,,0.0,0.0
0,ZNF804A,47.747005,,0.0,0.0
0,NEBL,46.842003,,0.0,0.0
0,WDFY4,46.12445,,0.0,0.0
0,LIN7A,45.344852,,0.0,0.0
0,WDR49,45.02051,,0.0,0.0
0,CLIC4,43.874435,,0.0,0.0
0,ANXA1,43.68385,,0.0,0.0
0,WARS,43.0296,,0.0,0.0
0,PRLR,42.86511,,0.0,0.0
0,IL1RAP,41.8481,,0.0,0.0
0,CPEB4,41.806248,,0.0,0.0
0,ANPEP,41.122578,,0.0,0.0
0,FAR2,41.009075,,0.0,0.0
0,PPM1L,40.183186,,0.0,0.0
0,FMN1,39.954605,,0.0,0.0
0,APP,39.8874,,0.0,0.0
0,PDGFC,39.00009,,0.0,0.0
0,CR1,38.653015,,0.0,0.0
0,DACH1,36.571976,,7.979516552919631e-293,1.3950203763845508e-291
0,FAM13A,35.87542,,7.385304791092648e-282,1.2646069847761385e-280
0,ATP8B4,35.616383,,7.814079020911265e-278,1.3199457805593353e-276
0,NFIA,35.60198,,1.3055208246202766e-277,2.190471182248786e-276
0,MITF,35.287693,,9.070360080203578e-273,1.5017152450668174e-271
0,TEX14,34.604115,,2.1910408831146472e-262,3.533936908249431e-261
0,AC020916.1,34.23494,,7.30775971716562e-257,1.1711153392893622e-255
0,CYP27A1,33.67028,,1.5744014723134394e-248,2.4754740130714453e-247
0,FLT3,33.5728,,4.1856594802228544e-247,6.54009293784821e-246
0,ITGAX,32.87638,,4.782522815419932e-237,7.380436443549278e-236
0,GAB1,32.28222,,1.2428007916223535e-228,1.8830315024581111e-227
0,FAM198B-AS1,31.96042,,3.8712060467620587e-224,5.795218632877333e-223
0,SLC2A3,31.794817,,7.634080686450932e-222,1.1360239116742458e-220
0,MAFB,31.373701,,4.6231004086136585e-216,6.798677071490674e-215
0,SOX4,31.154385,,4.423819337683279e-213,6.467572131115905e-212
0,DYSF,31.0694,,6.240941437327936e-212,9.071135810069674e-211
0,TCF7L2,30.98707,,8.051233654617259e-211,1.1634730714764825e-209
0,TMEM144,30.613262,,8.152370407615891e-206,1.1580071601727117e-204
0,RFX2,30.121891,,2.504545423681608e-199,3.537493536273458e-198
0,PADI4,29.565908,,4.101431129570462e-192,5.603047991216478e-191
0,TMTC1,29.34651,,2.647580580799033e-189,3.577811595674369e-188
0,NRG1,28.362135,,5.930474728170511e-177,7.928442149960576e-176
0,RASGEF1B,28.238512,,1.9697115391060992e-175,2.6192972594495997e-174
0,DUSP6,27.83081,,1.839056480553715e-170,2.4071419902535537e-169
0,CYP1B1,27.678837,,1.2554923581199237e-168,1.6347556746353175e-167
0,DOCK4,27.483284,,2.781497244514469e-166,3.5844036656114287e-165
0,NR6A1,27.221342,,3.631032181137632e-163,4.655169462996964e-162
0,AQP9,26.464565,,2.4804954806535467e-154,3.0699201493236965e-153
0,MYO1E,25.849266,,2.47982901957342e-147,3.0095012373463838e-146
0,PIP5K1B,25.217731,,2.5599669736929183e-140,3.0046560724095285e-139
0,L3MBTL4,25.001467,,5.892822496296453e-138,6.884138430252866e-137
0,DHRS7B,24.920683,,4.440841712927572e-137,5.163769433636712e-136
0,BASP1,24.205914,,1.927609430245414e-129,2.200467386124902e-128
0,MOB3B,23.50929,,3.2772738555445327e-122,3.674073829085799e-121
0,SEMA3C,23.078968,,7.531233222729253e-118,8.368036914143614e-117
0,NRGN,22.675716,,7.780570179322364e-114,8.568909889121546e-113
0,MTSS1,22.408493,,3.2525447641776335e-111,3.5508130613292943e-110
0,FBN2,22.173315,,6.216021905749065e-109,6.641049044603702e-108
0,NHSL1,21.903814,,2.3891461190399576e-106,2.5416448074893166e-105
0,SRGAP1,21.310219,,9.126869885335005e-101,9.42858459228823e-100
0,CD83,21.116209,,5.644637810857278e-99,5.783440379976719e-98
0,SH3RF1,19.518007,,7.719126246350567e-85,7.479773494525743e-84
0,SASH1,19.472492,,1.8790290554002952e-84,1.8067587071156687e-83
0,HIP1,19.266823,,1.0200975163558447e-82,9.733754927059586e-82
0,TAFA2,18.835262,,3.882057086310608e-79,3.662318005953404e-78
0,MTRNR2L8,17.813473,,5.55543927784887e-71,5.1061022774346236e-70
0,MGST1,17.086994,,1.8549329459829596e-65,1.6741272075658482e-64
0,FRMD3,17.061836,,2.8544447399400275e-65,2.5669467085791615e-64
0,SGK1,16.342031,,4.957278996336666e-60,4.333285835958624e-59
0,EEPD1,16.0567,,5.131378184289936e-58,4.423601883008565e-57
0,NETO2,16.033243,,7.487165226444316e-58,6.43227253130955e-57
0,VNN3,15.668501,,2.483703728697182e-55,2.1048336683874425e-54
0,TPST1,15.203062,,3.374697390292763e-52,2.8029048092132585e-51
0,SPOCK1,15.036855,,4.210895494897528e-51,3.4858406414714635e-50
0,ADGRB3,14.754495,,2.8783959667291512e-49,2.3671019463233152e-48
0,PHACTR2,14.2280655,,6.135584130408422e-46,4.9163334378272617e-45
0,CALCRL,14.098635,,3.8718549346708193e-45,3.0826870498971494e-44
0,GPAT3,14.094255,,4.1196720554096366e-45,3.2695809963568546e-44
0,IGFBP7,13.681041,,1.3179282961460749e-42,1.0200683406703366e-41
0,ANO5,13.568793,,6.132308732333154e-42,4.717160563333195e-41
0,RNF150,13.482968,,1.9701870986236192e-41,1.5062592497122471e-40
0,ME1,13.399792,,6.063321896444989e-41,4.593425679124991e-40
0,AL163541.1,13.202399,,8.498433461388645e-40,6.380205301342826e-39
0,VNN1,13.14675,,1.7764578161706258e-39,1.317847044636963e-38
0,OPHN1,12.747922,,3.201681644790398e-37,2.3133537895884378e-36
0,NEGR1,12.700617,,5.8665533474472755e-37,4.2266234491695064e-36
0,PDE7B,12.232787,,2.0768922966134653e-34,1.4544063701774965e-33
0,TESC,12.231619,,2.1069757012689806e-34,1.4713517466962156e-33
0,AC009226.1,12.181233,,3.91318848405856e-34,2.7174920028184443e-33
0,KIAA1958,12.022583,,2.7038565123841798e-33,1.85195651533163e-32
0,PRICKLE1,11.97442,,4.8381377688474235e-33,3.304738913147147e-32
0,CPED1,11.889359,,1.3443389801692178e-32,9.132737637019143e-32
0,JUN,11.866984,,1.7568626686309496e-32,1.190286360861077e-31
0,MIR646HG,11.802644,,3.78237647599731e-32,2.5556597810792636e-31
0,HDX,11.732599,,8.675281249417482e-32,5.845876852707198e-31
0,STEAP4,11.677501,,1.6610869545389725e-31,1.1163218780503849e-30
0,IL1R2,11.541027,,8.194087841054468e-31,5.4773314445551254e-30
0,DLGAP2,11.502412,,1.282805570830287e-30,8.55203713886858e-30
0,RASAL2,11.4158745,,3.483806785844778e-30,2.316360894843602e-29
0,SDC2,11.336639,,8.639914456594439e-30,5.699152016223244e-29
0,TNFRSF21,11.298956,,1.3278704996572348e-29,8.690251961107558e-29
0,TTTY14,11.058933,,1.9844353109480556e-28,1.2753440301722723e-27
0,STARD13,10.954642,,6.3127357800027125e-28,4.0055430076159344e-27
