group,names,scores,logfoldchanges,pvals,pvals_adj
0,IRAK3,131.41374,,0.0,0.0
0,RNF144B,121.289055,,0.0,0.0
0,LYZ,120.417915,,0.0,0.0
0,LRMDA,117.941475,,0.0,0.0
0,LRRK2,115.5318,,0.0,0.0
0,MCTP1,113.45298,,0.0,0.0
0,TLR2,112.14471,,0.0,0.0
0,SLC8A1,109.0037,,0.0,0.0
0,CSF3R,108.96116,,0.0,0.0
0,ACSL1,108.02488,,0.0,0.0
0,CD36,105.96159,,0.0,0.0
0,NAMPT,105.20185,,0.0,0.0
0,MIR181A1HG,104.88365,,0.0,0.0
0,DMXL2,104.31429,,0.0,0.0
0,CLEC12A,102.75053,,0.0,0.0
0,MAML3,100.408905,,0.0,0.0
0,IRS2,97.367935,,0.0,0.0
0,SAT1,96.95317,,0.0,0.0
0,KIF13A,94.350044,,0.0,0.0
0,CLEC7A,93.202225,,0.0,0.0
1,GNLY,134.35143,,0.0,0.0
1,CD247,128.63492,,0.0,0.0
1,MCTP2,121.60557,,0.0,0.0
1,NKG7,115.28772,,0.0,0.0
1,PRF1,110.162704,,0.0,0.0
1,KLRF1,104.1476,,0.0,0.0
1,NCALD,102.23666,,0.0,0.0
1,KLRD1,99.67157,,0.0,0.0
1,TGFBR3,99.61091,,0.0,0.0
1,YES1,93.74076,,0.0,0.0
1,SPON2,92.889854,,0.0,0.0
1,MYBL1,90.38927,,0.0,0.0
1,C1orf21,89.86285,,0.0,0.0
1,SYTL3,88.71806,,0.0,0.0
1,NCAM1,87.241875,,0.0,0.0
1,BNC2,85.0999,,0.0,0.0
1,IL2RB,84.68403,,0.0,0.0
1,CEP78,83.64473,,0.0,0.0
1,CCL5,81.80759,,0.0,0.0
1,TFDP2,81.5985,,0.0,0.0
2,INPP4B,113.14252,,0.0,0.0
2,CDC14A,105.807205,,0.0,0.0
2,CAMK4,92.64242,,0.0,0.0
2,ANK3,91.43028,,0.0,0.0
2,IL7R,90.97527,,0.0,0.0
2,RORA,86.80073,,0.0,0.0
2,PRKCA,82.26417,,0.0,0.0
2,LEF1,79.61735,,0.0,0.0
2,DOCK9,77.41057,,0.0,0.0
2,THEMIS,75.783394,,0.0,0.0
2,PATJ,75.29375,,0.0,0.0
2,CD28,73.36583,,0.0,0.0
2,BCL2,71.90991,,0.0,0.0
2,LTB,69.36846,,0.0,0.0
2,ADAM19,68.278755,,0.0,0.0
2,CSGALNACT1,67.67782,,0.0,0.0
2,EPHA4,65.41787,,0.0,0.0
2,TCF7,62.933067,,0.0,0.0
2,FAAH2,62.310444,,0.0,0.0
2,PDE3B,61.852703,,0.0,0.0
3,LEF1,109.82656,,0.0,0.0
3,PRKCA,107.4466,,0.0,0.0
3,FHIT,103.82883,,0.0,0.0
3,CAMK4,102.783394,,0.0,0.0
3,INPP4B,98.063065,,0.0,0.0
3,TSHZ2,96.98935,,0.0,0.0
3,TXK,94.60987,,0.0,0.0
3,TCF7,89.991714,,0.0,0.0
3,PDE3B,87.900536,,0.0,0.0
3,IGF1R,84.353806,,0.0,0.0
3,PLCL1,84.33071,,0.0,0.0
3,BCL2,83.9131,,0.0,0.0
3,MLLT3,81.89893,,0.0,0.0
3,ANK3,80.44663,,0.0,0.0
3,BACH2,79.36289,,0.0,0.0
3,PCED1B,75.946495,,0.0,0.0
3,IL7R,75.50593,,0.0,0.0
3,ITGA6,75.34799,,0.0,0.0
3,CSGALNACT1,73.00989,,0.0,0.0
3,APBA2,72.12386,,0.0,0.0
4,CCL5,109.937164,,0.0,0.0
4,NKG7,102.42387,,0.0,0.0
4,XIST,87.093956,,0.0,0.0
4,IL32,86.33758,,0.0,0.0
4,GZMH,84.7465,,0.0,0.0
4,GZMA,77.21266,,0.0,0.0
4,TGFBR3,72.36189,,0.0,0.0
4,THEMIS,71.697136,,0.0,0.0
4,PPP2R2B,71.65781,,0.0,0.0
4,JUN,70.20567,,0.0,0.0
4,A2M,69.88326,,0.0,0.0
4,GNLY,68.64548,,0.0,0.0
4,PZP,57.379852,,0.0,0.0
4,TOX,56.40242,,0.0,0.0
4,CD8A,56.33065,,0.0,0.0
4,PPP1R16B,55.079853,,0.0,0.0
4,NCALD,54.070282,,0.0,0.0
4,CST7,53.841507,,0.0,0.0
4,C1orf21,51.85221,,0.0,0.0
4,SAMD3,50.207336,,0.0,0.0
5,ANK3,78.86223,,0.0,0.0
5,PDE3B,78.00034,,0.0,0.0
5,ZEB1,73.472115,,0.0,0.0
5,CAMK4,60.577263,,0.0,0.0
5,IL7R,53.95377,,0.0,0.0
5,CD28,53.119186,,0.0,0.0
5,BACH2,52.74418,,0.0,0.0
5,TSHZ2,50.48182,,0.0,0.0
5,INPP4B,47.47703,,0.0,0.0
5,SESN3,46.697742,,0.0,0.0
5,NELL2,44.24203,,0.0,0.0
5,PRKCA,43.594482,,0.0,0.0
5,CD247,43.33182,,0.0,0.0
5,RORA,43.308647,,0.0,0.0
5,LEF1,40.442493,,0.0,0.0
5,FAAH2,39.170555,,0.0,0.0
5,AP3M2,38.715046,,0.0,0.0
5,TCF7,36.968002,,3.742381243147598e-299,1.7992217515132683e-297
5,BTBD11,36.965347,,4.1286934093945697e-299,1.9474968912238535e-297
5,SFMBT1,35.28462,,1.0110703458619644e-272,4.434519060798089e-271
6,XIST,80.13109,,0.0,0.0
6,JUN,78.98679,,0.0,0.0
6,LTB,77.650734,,0.0,0.0
6,INPP4B,69.278015,,0.0,0.0
6,IL7R,68.92609,,0.0,0.0
6,CAMK4,66.14864,,0.0,0.0
6,ANK3,65.93852,,0.0,0.0
6,CDC14A,58.11468,,0.0,0.0
6,IL32,53.825806,,0.0,0.0
6,PRKCA,53.737507,,0.0,0.0
6,ZNF331,51.81429,,0.0,0.0
6,TCF7,45.786415,,0.0,0.0
6,RORA,45.016785,,0.0,0.0
6,TAFA1,43.349445,,0.0,0.0
6,NELL2,43.183712,,0.0,0.0
6,DOCK9,42.632835,,0.0,0.0
6,CD28,42.62857,,0.0,0.0
6,ZEB1,42.496098,,0.0,0.0
6,BACH2,42.197903,,0.0,0.0
6,HIST1H2AC,42.116684,,0.0,0.0
7,TCF4,109.32483,,0.0,0.0
7,ARHGAP24,108.19928,,0.0,0.0
7,ACSM3,108.061165,,0.0,0.0
7,PLEKHG1,107.49271,,0.0,0.0
7,BX284613.2,106.583046,,0.0,0.0
7,AFF3,106.29142,,0.0,0.0
7,AL589693.1,106.22631,,0.0,0.0
7,PRKCE,105.70676,,0.0,0.0
7,VOPP1,104.86596,,0.0,0.0
7,CDK14,102.74545,,0.0,0.0
7,MGAT5,102.652054,,0.0,0.0
7,ROR1,101.44858,,0.0,0.0
7,ADAM28,100.7382,,0.0,0.0
7,BACH2,100.014,,0.0,0.0
7,SFMBT1,99.48872,,0.0,0.0
7,SNED1,99.067085,,0.0,0.0
7,EZR,98.94284,,0.0,0.0
7,RALGPS2,96.86371,,0.0,0.0
7,COBLL1,96.681175,,0.0,0.0
7,SESN3,95.91222,,0.0,0.0
8,CLEC12A,97.78828,,0.0,0.0
8,CD36,90.11793,,0.0,0.0
8,MEGF9,89.32582,,0.0,0.0
8,CREB5,86.00621,,0.0,0.0
8,CPPED1,84.75611,,0.0,0.0
8,DMXL2,83.59092,,0.0,0.0
8,RBM47,82.8855,,0.0,0.0
8,SLC8A1,82.821884,,0.0,0.0
8,FGD4,80.69348,,0.0,0.0
8,DYSF,80.10364,,0.0,0.0
8,LRRK2,78.54691,,0.0,0.0
8,IFI44L,77.24425,,0.0,0.0
8,MCTP1,75.09951,,0.0,0.0
8,SLC11A1,73.19111,,0.0,0.0
8,CSF3R,72.723206,,0.0,0.0
8,NRG1,71.359505,,0.0,0.0
8,IRAK3,71.01329,,0.0,0.0
8,LRMDA,70.68741,,0.0,0.0
8,FRMD4B,70.526855,,0.0,0.0
8,TLR2,70.35339,,0.0,0.0
9,TCF7L2,98.17544,,0.0,0.0
9,MTSS1,91.419266,,0.0,0.0
9,SLC8A1,80.18863,,0.0,0.0
9,WARS,79.18606,,0.0,0.0
9,FCGR3A,78.19322,,0.0,0.0
9,SAT1,73.26622,,0.0,0.0
9,MCTP1,72.73501,,0.0,0.0
9,PPM1L,72.072975,,0.0,0.0
9,FMNL2,70.822525,,0.0,0.0
9,SPRED1,66.3483,,0.0,0.0
9,IRAK3,65.54365,,0.0,0.0
9,DMXL2,65.309586,,0.0,0.0
9,EPS8,63.8861,,0.0,0.0
9,CDKN1C,62.0982,,0.0,0.0
9,SETBP1,62.047096,,0.0,0.0
9,CD86,60.77697,,0.0,0.0
9,CPPED1,59.76968,,0.0,0.0
9,ITGAX,59.74463,,0.0,0.0
9,FGD4,59.138454,,0.0,0.0
9,LPCAT2,59.113274,,0.0,0.0
10,JARID2,94.17558,,0.0,0.0
10,AP003086.1,85.590164,,0.0,0.0
10,GAB2,83.80602,,0.0,0.0
10,PLAUR,78.85107,,0.0,0.0
10,XIST,77.848,,0.0,0.0
10,DOCK4,77.623436,,0.0,0.0
10,LRMDA,77.47972,,0.0,0.0
10,SAT1,73.52462,,0.0,0.0
10,PLEK,72.720345,,0.0,0.0
10,ATP2B1,72.58861,,0.0,0.0
10,SULF2,71.21247,,0.0,0.0
10,NAMPT,67.87424,,0.0,0.0
10,PID1,67.53246,,0.0,0.0
10,AC020916.1,66.70938,,0.0,0.0
10,CD83,66.66252,,0.0,0.0
10,ACSL1,65.522606,,0.0,0.0
10,HLA-DQB1,64.709755,,0.0,0.0
10,LYZ,63.59934,,0.0,0.0
10,KYNU,63.46306,,0.0,0.0
10,TMEM170B,63.232216,,0.0,0.0
11,SLC8A1,52.673023,,0.0,0.0
11,NAMPT,51.561893,,0.0,0.0
11,LRMDA,51.54348,,0.0,0.0
11,IRAK3,50.84492,,0.0,0.0
11,DMXL2,50.526585,,0.0,0.0
11,MCTP1,49.098804,,0.0,0.0
11,ACSL1,48.572292,,0.0,0.0
11,RBM47,48.47635,,0.0,0.0
11,CLEC7A,47.293613,,0.0,0.0
11,TLR2,47.27367,,0.0,0.0
11,LRRK2,45.615425,,0.0,0.0
11,SAT1,45.45833,,0.0,0.0
