group,names,scores,logfoldchanges,pvals,pvals_adj
0,CD247,-93.61539,,0.0,0.0
0,RORA,-91.34845,,0.0,0.0
0,ZEB1,-79.62752,,0.0,0.0
0,BACH2,-76.61315,,0.0,0.0
0,BCL2,-76.15681,,0.0,0.0
0,PPP1R16B,-71.32529,,0.0,0.0
0,CAMK4,-70.35577,,0.0,0.0
0,INPP4B,-68.38314,,0.0,0.0
0,PCED1B,-66.84424,,0.0,0.0
0,CARD11,-63.217106,,0.0,0.0
0,ANK3,-60.466015,,0.0,0.0
0,IL7R,-56.87965,,0.0,0.0
0,ARID5B,-56.626472,,0.0,0.0
0,THEMIS,-56.58261,,0.0,0.0
0,DOCK9,-55.35015,,0.0,0.0
0,SCML4,-55.12261,,0.0,0.0
0,LEF1,-54.39331,,0.0,0.0
0,PATJ,-54.12971,,0.0,0.0
0,PYHIN1,-53.36582,,0.0,0.0
0,TCF7,-53.316174,,0.0,0.0
1,GAB2,-74.43763,,0.0,0.0
1,UBE2E2,-69.83292,,0.0,0.0
1,NAMPT,-66.38028,,0.0,0.0
1,SESN3,-64.78339,,0.0,0.0
1,CAMK4,-61.165386,,0.0,0.0
1,INPP4B,-60.225414,,0.0,0.0
1,ARHGAP24,-58.015053,,0.0,0.0
1,LRRK2,-57.86583,,0.0,0.0
1,SLC8A1,-57.760616,,0.0,0.0
1,MEF2C,-57.097687,,0.0,0.0
1,SAT1,-57.088734,,0.0,0.0
1,RBM47,-55.86159,,0.0,0.0
1,DMXL2,-55.378708,,0.0,0.0
1,KYNU,-54.7679,,0.0,0.0
1,PDE4B,-54.310604,,0.0,0.0
1,SULF2,-54.221355,,0.0,0.0
1,ATP2B1,-54.030495,,0.0,0.0
1,AHR,-53.706978,,0.0,0.0
1,TLR2,-53.324535,,0.0,0.0
1,IRAK3,-52.910404,,0.0,0.0
2,CD74,-62.290134,,0.0,0.0
2,UBE2E2,-61.197872,,0.0,0.0
2,SAT1,-57.754093,,0.0,0.0
2,TRIO,-57.48984,,0.0,0.0
2,MEF2C,-56.649323,,0.0,0.0
2,NAMPT,-55.202312,,0.0,0.0
2,PLEK,-53.132027,,0.0,0.0
2,LRMDA,-52.87552,,0.0,0.0
2,ARHGAP24,-52.47284,,0.0,0.0
2,HDAC9,-51.91725,,0.0,0.0
2,LRRK2,-51.68478,,0.0,0.0
2,HLA-DRB1,-51.363525,,0.0,0.0
2,KYNU,-50.49221,,0.0,0.0
2,SLC8A1,-50.264603,,0.0,0.0
2,IRAK3,-50.220135,,0.0,0.0
2,MCTP1,-49.053486,,0.0,0.0
2,RBM47,-48.759594,,0.0,0.0
2,HLA-DRA,-48.33987,,0.0,0.0
2,ACSL1,-47.55228,,0.0,0.0
2,GAS7,-47.464096,,0.0,0.0
3,ATP2B1,-69.17117,,0.0,0.0
3,NAMPT,-63.732468,,0.0,0.0
3,GAB2,-62.58371,,0.0,0.0
3,SAT1,-61.34876,,0.0,0.0
3,PLCB1,-58.12998,,0.0,0.0
3,CD74,-57.887016,,0.0,0.0
3,TRIO,-56.79769,,0.0,0.0
3,MTSS1,-54.825947,,0.0,0.0
3,MEF2C,-54.08614,,0.0,0.0
3,JARID2,-53.67025,,0.0,0.0
3,HDAC9,-52.12747,,0.0,0.0
3,SAMSN1,-51.896473,,0.0,0.0
3,LRMDA,-50.994713,,0.0,0.0
3,ARHGAP24,-50.523884,,0.0,0.0
3,PLEK,-50.206635,,0.0,0.0
3,LRRK2,-49.525623,,0.0,0.0
3,IRAK3,-49.34613,,0.0,0.0
3,SLC8A1,-49.19933,,0.0,0.0
3,HLA-DRB1,-48.865845,,0.0,0.0
3,ACSL1,-48.771687,,0.0,0.0
4,UBE2E2,-60.457714,,0.0,0.0
4,GAB2,-56.734245,,0.0,0.0
4,ATP2B1,-53.927723,,0.0,0.0
4,MEF2C,-51.26171,,0.0,0.0
4,TRIO,-50.062355,,0.0,0.0
4,SESN3,-47.99799,,0.0,0.0
4,ARHGAP24,-47.826935,,0.0,0.0
4,LRRK2,-47.22725,,0.0,0.0
4,SLC8A1,-47.075264,,0.0,0.0
4,IRAK3,-46.99189,,0.0,0.0
4,DMXL2,-46.63416,,0.0,0.0
4,PRKCA,-45.482624,,0.0,0.0
4,LRMDA,-44.9162,,0.0,0.0
4,MAML3,-44.844547,,0.0,0.0
4,RBM47,-44.705616,,0.0,0.0
4,KYNU,-44.58766,,0.0,0.0
4,TLR2,-44.34499,,0.0,0.0
4,IRS2,-43.962063,,0.0,0.0
4,LYZ,-42.745094,,0.0,0.0
4,MCTP1,-42.200916,,0.0,0.0
5,ATP2B1,-59.70703,,0.0,0.0
5,JARID2,-52.5478,,0.0,0.0
5,MEF2C,-48.45262,,0.0,0.0
5,TRIO,-48.35465,,0.0,0.0
5,MTSS1,-46.948845,,0.0,0.0
5,HDAC9,-46.65365,,0.0,0.0
5,SLC8A1,-46.418194,,0.0,0.0
5,CD74,-46.338562,,0.0,0.0
5,PLCB1,-45.908417,,0.0,0.0
5,LRMDA,-45.8403,,0.0,0.0
5,LRRK2,-45.053852,,0.0,0.0
5,PLEK,-44.892498,,0.0,0.0
5,IRAK3,-44.027905,,0.0,0.0
5,ARHGAP24,-43.90103,,0.0,0.0
5,DMXL2,-43.296734,,0.0,0.0
5,KYNU,-43.23181,,0.0,0.0
5,ACSL1,-42.890106,,0.0,0.0
5,RBM47,-42.842796,,0.0,0.0
5,MCTP1,-42.63125,,0.0,0.0
5,HLA-DRA,-42.14678,,0.0,0.0
6,TRIO,-48.367786,,0.0,0.0
6,MEF2C,-47.784874,,0.0,0.0
6,LRRK2,-44.287792,,0.0,0.0
6,CD74,-44.0967,,0.0,0.0
6,ARHGAP24,-43.903877,,0.0,0.0
6,UBE2E2,-43.72694,,0.0,0.0
6,SLC8A1,-43.628193,,0.0,0.0
6,HDAC9,-43.48886,,0.0,0.0
6,IRAK3,-43.44749,,0.0,0.0
