Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Interferon Alpha Response,0.908790196210143,1.8822599390717907,0.0,0.0,0.0,66/96,5.48%,EIF2AK2;BST2;MX1;ISG15;PARP14;EPSTI1;B2M;IFI44;IRF7;IFI44L;SAMD9L;PARP9;HLA-C;SP110;GBP2;STAT2;PSME1;DDX60;IRF1;IFIT3;LY6E;LAP3;GBP4;ADAR;PSME2;SAMD9;CD74;IRF9;PNPT1;HERC6;PSMB9;IFITM2;TXNIP;IFI30;TRIM14;NCOA7;PARP12;ISG20;RSAD2;OASL;TRIM5;PLSCR1;IFIH1;CMPK2;TAP1;NUB1;HELZ2;CMTR1;CASP1;PSMB8;TENT5A;OGFR;IFITM3;CASP8;OAS1;UBE2L6;IFI35;RNF31;TRIM26;IRF2;PSMA3;TRIM25;NMI;LPAR6;IL15;TMEM140
prerank,Interferon Gamma Response,0.8498631808596585,1.8342744562434072,0.0,0.0,0.0,103/198,5.80%,EIF2AK2;BST2;MX1;ISG15;RNF213;STAT1;PARP14;HLA-B;EPSTI1;B2M;XAF1;HLA-A;IFI44;IRF7;APOL6;TAPBP;IFI44L;CCL5;SAMD9L;SP110;MX2;GZMA;STAT2;PSME1;DDX60;IRF1;IFIT3;ZNFX1;LY6E;LAP3;GBP4;NLRC5;OAS3;OAS2;ADAR;PSME2;CD74;IRF9;STAT4;PNPT1;HERC6;PSMB9;IFITM2;SLAMF7;TXNIP;TNFSF10;IFI30;TRIM14;LCP2;CASP4;AUTS2;KLRK1;PSMB10;PARP12;ISG20;RSAD2;IL15RA;OASL;PLSCR1;IFIH1;CMPK2;TAP1;PDE4B;DDX58;PTPN6;HELZ2;SPPL2A;CMTR1;IL10RA;ZBP1;CASP1;PSMB8;IFNAR2;VAMP8;MT2A;HLA-DRB1;OGFR;IL2RB;RIPK1;GCH1;PSMA2;IFITM3;CASP8;ST8SIA4;FGL2;UBE2L6;PIM1;IFI35;RNF31;TRIM26;CD69;IRF2;RBCK1;FAS;PSMA3;MVP;TRIM25;CD38;NMI;IL15;PML;SECTM1;ST3GAL5
prerank,Allograft Rejection,0.7512199709847092,1.614213066155807,0.0,0.0071532578424304116,0.021,79/190,8.08%,STAT1;B2M;HLA-A;HLA-E;IRF7;TAPBP;CCL5;ITGAL;FLNA;PRF1;ITGB2;GBP2;GZMA;RPL39;KLRD1;CD74;STAT4;CD2;RPS19;CD3E;CD96;LCP2;FYB1;IL2RG;PSMB10;ETS1;ZAP70;CD3G;TGFB1;HLA-DRA;RPL9;TAP1;CD3D;LY75;PTPN6;LCK;TPD52;CD8A;EIF5A;GZMB;CD7;WAS;PTPRC;GLMN;CCR1;IFNAR2;CD247;CCND3;EIF3A;IL2RB;IL18RAP;ST8SIA4;CSK;F2R;IL16;GALNT1;FAS;IGSF6;CCL4;EIF3J;BCL10;RPS3A;IL27RA;MAP3K7;CCND2;TAP2;IL15;CFP;HCLS1;HLA-DMB;MAP4K1;IKBKB;TIMP1;CD8B;LTB;CCR5;GPR65;HLA-DMA;CD47
prerank,Oxidative Phosphorylation,0.7263469749994118,1.564690652936323,0.0,0.011705331014886128,0.046,134/200,16.86%,ATP5F1E;COX4I1;ATP6V0C;SLC25A6;UQCRH;TCIRG1;UQCR11;ATP5MG;COX7C;DECR1;UQCRC1;SLC25A3;NDUFS1;UQCRB;LDHB;NDUFV1;COX5B;IDH2;COX8A;CPT1A;ATP6AP1;ATP6V0B;ATP5F1D;ATP5PO;ATP5F1B;ETFA;NNT;NQO2;ATP5MC2;HADHB;ATP5ME;NDUFA4;ACADVL;SLC25A5;ETFB;FDX1;COX6B1;UQCRQ;ATP6V0E1;AFG3L2;TOMM22;ATP5PB;COX5A;ATP6V1H;NDUFB5;COX6C;BAX;NDUFB1;ATP5PF;NDUFA3;COX7B;SDHC;HADHA;NDUFA2;PHB2;UQCRFS1;NDUFA7;NDUFS8;NDUFB7;PMPCA;UQCR10;COX6A1;BCKDHA;NDUFS4;TOMM70;MDH2;CS;IDH3B;NDUFC2;GPI;GPX4;SURF1;NDUFB8;COX7A2L;ATP5MF;NDUFA1;ATP6V1G1;SDHD;ECHS1;NDUFB2;ATP6V1F;ECH1;ACAA2;NDUFS3;MRPS12;COX11;VDAC1;NDUFS6;MDH1;POLR2F;SDHA;COX10;ATP5F1A;ATP6V1C1;MRPL34;ISCA1;TIMM13;PDHA1;ACAA1;SLC25A20;AIFM1;IDH1;NDUFS7;MTRR;CYB5R3;CASP7;DLAT;ACO2;ATP6V1D;ATP5PD;ACADM;SLC25A12;GRPEL1;NDUFB4;TIMM8B;SLC25A11;OXA1L;NDUFB6;MFN2;PRDX3;DLST;HSPA9;MRPS11;MTX2;MRPS22;CYCS;PDK4;NDUFB3;PHYH;COX7A2;LDHA;NDUFAB1;CYC1;GOT2
prerank,Myc Targets V1,0.6814371801637246,1.4805434984616597,0.0,0.035115993044658386,0.149,122/196,16.86%,RPL34;RPL18;RPS6;RPS2;SET;RPS3;RACK1;RPL6;CUL1;HSP90AB1;PCBP1;HNRNPA1;RPL14;RPLP0;RPL22;G3BP1;KPNB1;PA2G4;EIF2S2;CANX;RPS10;FAM120A;PPIA;RPS5;PPM1G;SERBP1;EIF4E;HNRNPR;UBE2L3;SLC25A3;PSMA2;DEK;SRSF3;EIF4A1;SRPK1;SRSF2;PSMA7;CBX3;EIF3J;SNRPA1;COX5A;SNRPD3;BUB3;PSMD8;NOP56;PHB2;HDAC2;PHB;RNPS1;CNBP;RAN;YWHAQ;PTGES3;HDGF;XRCC6;PWP1;USP1;CCT5;SF3B3;U2AF1;TOMM70;PABPC4;ORC2;FBL;SSB;DUT;PSMA4;DDX18;TUFM;GSPT1;CCT4;PRPS2;GLO1;ACP1;RRM1;SRSF7;VDAC1;EEF1B2;CCT3;AP3S1;STARD7;MCM6;XPOT;IMPDH2;EIF3D;SNRPD2;RSL1D1;NCBP1;SF3A1;PSMA6;SNRPD1;NPM1;PSMD14;EIF3B;HNRNPA2B1;EIF4H;SRSF1;LSM7;CAD;HSPE1;PSMB3;PRPF31;PSMC4;TRIM28;SNRPA;NHP2;LSM2;RUVBL2;HDDC2;PRDX3;CTPS1;RANBP1;MYC;PSMD7;KPNA2;PABPC1;CSTF2;VBP1;LDHA;NDUFAB1;CYC1;GOT2
prerank,KRAS Signaling Dn,0.638702684774613,1.372312684278177,0.01330603889457523,0.12453171607503853,0.488,15/179,8.34%,MX1;IFI44L;SIDT1;RSAD2;MFSD6;SLC16A7;TENT5C;CLSTN3;LFNG;YPEL1;MAST3;CPEB3;BARD1;ASB7;FGGY
prerank,Unfolded Protein Response,0.6501618965764717,1.368597267251407,0.02103049421661409,0.11203673971391007,0.506,52/108,15.53%,EEF2;ERN1;CALR;SEC11A;RPS14;HSP90B1;SERP1;DCP1A;EIF4E;EIF4A1;SEC31A;EIF4A2;CEBPB;KHSRP;PDIA6;HERPUD1;BANF1;ZBTB17;NOP56;DKC1;EXOC2;DDX10;KIF5B;WIPI1;SPCS1;LSM4;IFIT1;CNOT6;CNOT2;XBP1;ATF4;EIF4G1;XPOT;TATDN2;SRPRA;ALDH18A1;NPM1;SRPRB;NOP14;ATF3;SLC7A5;EXOSC9;EXOSC1;PDIA5;LSM1;MTHFD2;GOSR2;IMP3;NHP2;HYOU1;HSPA9;SPCS3
prerank,Inflammatory Response,0.6355281944082806,1.3639724829436912,0.011190233977619531,0.10327516010008907,0.524,33/197,5.40%,EIF2AK2;BST2;IRF7;TAPBP;CCL5;IRF1;LY6E;EMP3;RASGRP1;TNFSF10;LCP2;CD14;IL15RA;SLC4A4;PDE4B;CD48;LCK;IL10RA;SLAMF1;IL2RB;IL18RAP;GCH1;TNFRSF1B;IL7R;CD69;CD82;LDLR;IL18R1;SELENOS;NMI;RHOG;SLC31A1;IL15
prerank,Reactive Oxygen Species Pathway,0.6830272572236101,1.3381944619571244,0.05172413793103448,0.1256155430208613,0.647,27/49,14.12%,FTL;LSP1;JUNB;TXN;SOD1;OXSR1;GSR;SELENOS;GCLM;G6PD;PRDX1;PRDX2;CAT;HMOX2;PTPA;ATOX1;GPX4;CDKN2D;EGLN2;PFKP;PRNP;ERCC2;LAMTOR5;SOD2;GLRX;NDUFB4;GLRX2
prerank,UV Response Dn,-0.44814228936158984,-1.32857919266928,0.0,0.1660802251935257,0.11635220125786164,29/142,3.63%,PTEN;MAPK14;IGF1R;PRKCA;ATP2B1;TGFBR2;PHF3;CELF2;SDC2;DYRK1A;LPAR1;NIPBL;RASA2;ZMIZ1;YTHDC1;FYN;VAV2;ABCC1;PRDM2;PEX14;DUSP1;SIPA1L1;NFKB1;ACVR2A;RXRA;SPOP;NR3C1;TOGARAM1;ATP2C1
