gene,score,logfoldchange,pval,pval_adj,significant
EIF2AK2,74.50134,4.0032754,0.0,0.0,True
BST2,35.503178,3.2114294,4.390393616373989e-276,6.831452467077927e-272,True
MX1,34.66092,4.114456,3.0586347508065278e-263,3.1728237815033044e-259,True
ISG15,16.93857,3.9408588,2.337356848323541e-64,1.818463627995715e-60,True
RNF213,14.152299,0.30903003,1.807502200234157e-45,1.1249893694257393e-41,True
STAT1,13.20703,0.44956017,7.991597371790053e-40,4.14497517016844e-36,True
PARP14,11.476352,0.40952164,1.7344616872967535e-30,7.710921101239281e-27,True
ACTB,11.408677,0.21711534,3.7844160910260355e-30,1.472137859409128e-26,True
HLA-B,11.283598,0.25045434,1.5814215208322314e-29,5.468204192033227e-26,True
EPSTI1,10.805918,0.60044646,3.2271379885854904e-27,1.0042853420478046e-23,True
B2M,10.796919,0.19728549,3.5594842323104295e-27,1.0070104482681869e-23,True
XAF1,10.070034,0.63711107,7.495180064420834e-24,1.943750030039803e-20,True
HLA-A,9.956911,0.23613289,2.352590096976558e-23,5.631738755223884e-20,True
TMSB4X,9.251742,0.21519835,2.208620978248034e-20,4.909448917362772e-17,True
IFI44,8.991257,0.8808679,2.4442045278346664e-19,5.070909660414321e-16,True
HLA-E,8.940055,0.18371071,3.889757424129024e-19,7.565578189930953e-16,True
TRIM22,8.7482195,0.29275113,2.1674490096568197e-18,3.96770665767766e-15,True
MT-ND3,8.299578,0.11200118,1.0448202354476664e-16,1.806378095951743e-13,True
IRF7,8.243609,3.2033672,1.6709197370942924e-16,2.736790643072336e-13,True
APOL6,8.160989,0.33948237,3.322925082978309e-16,5.170471429114249e-13,True
TAPBP,7.993743,0.26458943,1.3090248472771551e-15,1.93985015463167e-12,True
PLCG2,-7.8981028,-0.08597038,2.8318058940815688e-15,4.00571815562811e-12,True
IFI44L,7.837188,1.3478615,4.6074966490647445e-15,6.234143292125863e-12,True
SMAP2,-7.7239347,-0.16870739,1.1279255614581778e-14,1.462543478024104e-11,True
CCL5,7.6222687,0.34972656,2.4925567239220423e-14,3.1027346099381584e-11,True
FTL,7.4411116,0.24109429,9.984155437487408e-14,1.1950266046715698e-10,True
NKG7,7.410428,0.36634773,1.2589258400216885e-13,1.4510285978324054e-10,True
TMSB10,7.391222,0.19174397,1.454856749312485e-13,1.6169693585215905e-10,True
IFI16,7.359721,0.26125076,1.842950273519517e-13,1.9776762935147367e-10,True
SAMD9L,7.2846413,0.5826126,3.2252783528050403e-13,3.3456887446430953e-10,True
ITGAL,7.2490573,0.2472934,4.1968286875096645e-13,4.213074475977444e-10,True
CFL1,7.232765,0.22698343,4.732566695523006e-13,4.6024211113961236e-10,True
SAMD3,7.212959,0.38728032,5.474900178925824e-13,5.162996774793081e-10,True
PARP9,7.148897,0.47584012,8.747785136438528e-13,8.006796277822559e-10,True
HLA-C,7.0287976,0.19032429,2.0832070329463847e-12,1.8522686532940425e-09,True
SP110,6.927426,0.25284263,4.285670447200925e-12,3.704724008802577e-09,True
SH3BGRL3,6.7596354,0.26063415,1.383392835056546e-11,1.1635455412691814e-08,True
MT-CO2,6.647505,0.0771138,2.981029168841186e-11,2.4413059930088873e-08,True
MYL6,6.6038303,0.23567769,4.0066847420074594e-11,3.197128953109542e-08,True
MX2,6.5987196,0.3758601,4.147243510506084e-11,3.2265554511737333e-08,True
FOXP1,-6.5811667,-0.11133465,4.667708402910829e-11,3.542904524355731e-08,True
