cell_type,count,mean,median,std,min,max
IFN-stimulated myeloid,38,1.404793034570259,1.4271489372253416,0.3633901074336307,0.3570898787180582,2.0325370737711586
Myeloid/T-cell mixed,3919,0.19735975016247329,0.17764705022176105,0.28076004821042744,-0.34912905883789064,1.4289634094238282
pDC-like,408,0.1454960210975868,0.13544642702738444,0.26101997214539185,-0.3323760681152344,0.9329509989420574
Unclear/rare,1998,0.0012760865856577327,-0.08639198303222656,0.22236207356629364,-0.362831298828125,1.7202605985005697
Dendritic/APC,751,-0.0008692359547587537,-0.037528458277384436,0.22612682656569882,-0.3656221923828125,1.1589325281778973
Activated myeloid/APC,10811,-0.005886138095462576,-0.059043199062347396,0.25045639441442785,-0.36468661499023436,1.8903207155863442
Cycling/proliferating,251,-0.009985128059805155,-0.03894193665186568,0.21855166563730918,-0.40554864501953125,1.0071596126556397
Cytotoxic T/NK,3201,-0.01962414790309619,-0.03823479191462198,0.20640809143851857,-0.3608387451171875,1.129926202138265
Cytotoxic NK/T,2691,-0.021026403366197783,-0.03760892009735106,0.20355408773768371,-0.3260658874511719,1.1661491661071777
Monocyte/myeloid,3562,-0.026916352578702545,-0.05939491597811382,0.2083814572256025,-0.37397702026367186,1.0109573497772217
Myeloid,13902,-0.02717063483090639,-0.047530112187067666,0.21032271241141307,-0.3768114318847656,1.96959104792277
Platelet,412,-0.028283585337373435,-0.06629283984502156,0.20633397446990012,-0.33929727172851565,0.806099406560262
Memory CD4/GZMK T cell,1357,-0.03286015316029199,-0.04747212568918863,0.19111999895259377,-0.34558102416992187,0.8211397711435955
Myeloid/APC,26071,-0.03550775790281906,-0.09764892578125,0.22805410251519506,-0.37735983276367185,2.0585038731892906
Naive/resting T cell,9105,-0.04213926436311484,-0.06939910666147867,0.20268885085309563,-0.362226318359375,1.2238001823425293
B cell,5295,-0.043252722732661314,-0.11948278045654297,0.21507453879196217,-0.37213644409179686,2.1008316650390624
Treg-like/activated CD4 T cell,1826,-0.046592456466440474,-0.11756494077046711,0.20869541534494643,-0.35326177978515627,1.0385061645507814
NK cell,513,-0.05448254942010951,-0.0758068060874939,0.17922304955504553,-0.35892431640625,0.6608201758066813
Naive/memory T cell,2135,-0.060642902410523586,-0.1284318831761678,0.1792203188855728,-0.36035580444335935,1.136178446451823
Mixed/uncertain,4503,-0.09222975118457279,-0.1527958221435547,0.1529565935616246,-0.3419403076171875,0.813205825805664
Activated/inflammatory myeloid,1764,-0.11214590024020035,-0.17713316345214844,0.15691045053536234,-0.331703857421875,0.7931598065694173
