gene,score,logfoldchange,pval,pval_adj,pct_nz_group,subtype
EIF2AK2,50.982033,3.3262215,0.0,0.0,0.6991942703670546,Naive/resting T cell
BST2,28.206179,2.7401814,4.91142805346293e-175,7.64218205118832e-171,0.4174127126230976,Naive/resting T cell
MX1,23.052376,3.6283813,1.3923485616772824e-117,1.4443295746465674e-113,0.31356311548791405,Naive/resting T cell
STAT1,14.303068,0.6104961,2.093723954013107e-46,1.6289172362221975e-42,0.7213518352730528,Naive/resting T cell
PARP14,12.815156,0.5438556,1.348667753319482e-37,8.394108096660457e-34,0.6689794091316025,Naive/resting T cell
B2M,11.86118,0.25351304,1.8830170781410715e-32,9.574642159443952e-29,0.9874664279319606,Naive/resting T cell
MT-ND3,11.849931,0.19242238,2.1536791489751822e-32,9.574642159443952e-29,0.9982094897045658,Naive/resting T cell
HLA-B,11.592641,0.3548415,4.490680258321363e-31,1.74687462048701e-27,0.9033124440465533,Naive/resting T cell
RNF213,11.481101,0.35328317,1.6417568511476665e-30,5.67683035641282e-27,0.8399731423455685,Naive/resting T cell
MT-CO2,10.250707,0.13933994,1.1748127444906062e-24,3.656017260854767e-21,0.9993285586392122,Naive/resting T cell
MT-CO3,9.647313,0.12084762,5.046052044472351e-22,1.4275739965816323e-18,1.0,Naive/resting T cell
IFI44,9.455401,1.2454029,3.2178496043854864e-21,8.34495664070636e-18,0.23701880035810205,Naive/resting T cell
TYMP,9.25679,0.30031377,2.106696777108514e-20,5.043107977201304e-17,0.8034914950760967,Naive/resting T cell
HLA-A,9.17123,0.30211037,4.6765018028584644e-20,1.0395195436068243e-16,0.8111011638316921,Naive/resting T cell
EPSTI1,9.121847,0.70043606,7.385483743198775e-20,1.5322416939223059e-16,0.37153088630259623,Naive/resting T cell
MT-ND1,9.088387,0.11823081,1.0051998324533628e-19,1.9551136741217907e-16,0.9988809310653536,Naive/resting T cell
ACTB,9.031402,0.21034414,1.6948624277482503e-19,3.1025952206779733e-16,0.9711280214861235,Naive/resting T cell
HLA-E,8.8557205,0.24729781,8.314519220113542e-19,1.4374879896107413e-15,0.8925693822739481,Naive/resting T cell
FTL,8.792116,0.3500471,1.4676843503059052e-18,2.403912472711567e-15,0.7164279319606087,Naive/resting T cell
LYZ,8.444325,0.23318808,3.058048948706008e-17,4.758324164186548e-14,0.9789615040286481,Naive/resting T cell
MT-ND2,8.4086485,0.10889352,4.1476368661041165e-17,6.146402822531433e-14,0.9982094897045658,Naive/resting T cell
MT-CYB,8.375231,0.11155691,5.511557599306751e-17,7.796348749564822e-14,0.9984333034914951,Naive/resting T cell
RPL41,7.9948373,0.28416944,1.2974519410636212e-15,1.6823626835791621e-12,0.7517905102954342,Naive/resting T cell
MT-ATP6,7.980693,0.11630213,1.455141520910207e-15,1.8113601652290255e-12,0.999104744852283,Naive/resting T cell
EEF1A1,7.9364376,0.21167538,2.08071242522059e-15,2.4904527181871063e-12,0.9380035810205909,Naive/resting T cell
